Date, Instance, Algorithm, RandSeed, Duration, Optima
2026-02-10 23:30:29, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 5, 25.731, 0
2026-02-10 23:30:46, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 6, 17.61, 0
2026-02-10 23:30:58, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 7, 12.199, 0
2026-02-10 23:31:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 8, 44.467, 0
2026-02-10 23:33:37, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 9, 113.589, 0
2026-02-10 23:33:40, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 10, 2.979, 0
2026-02-10 23:33:40, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 11, 0.511, 0
2026-02-10 23:33:50, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 12, 9.299, 0
2026-02-10 23:33:52, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 13, 1.875, 0
2026-02-10 23:33:53, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 14, 1.38, 0
2026-02-10 23:33:59, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 15, 6.339, 0
2026-02-10 23:34:01, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 16, 1.345, 0
2026-02-10 23:34:28, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 17, 26.815, 0
2026-02-10 23:34:28, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 18, 0.367, 0
2026-02-10 23:34:32, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 19, 4.075, 0
2026-02-10 23:34:40, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 20, 7.581, 0
2026-02-10 23:34:51, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 21, 11.501, 0
2026-02-10 23:35:33, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 22, 41.845, 0
2026-02-10 23:35:47, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 23, 13.878, 0
2026-02-10 23:36:08, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 24, 20.692, 0
2026-02-10 23:36:08, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 25, 0.358, 0
2026-02-10 23:36:29, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 26, 20.255, 0
2026-02-10 23:36:39, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 27, 10.808, 0
2026-02-10 23:37:01, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 28, 21.063, 0
2026-02-10 23:37:26, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 29, 25.405, 0
2026-02-10 23:37:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 30, 17.07, 0
2026-02-10 23:39:01, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 1, 10.909, 0
2026-02-10 23:39:38, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 2, 37.286, 0
2026-02-10 23:40:23, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 3, 44.945, 0
2026-02-10 23:40:36, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 4, 13.204, 0
2026-02-10 23:40:38, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 5, 1.242, 0
2026-02-10 23:41:44, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 6, 66.445, 0
2026-02-10 23:41:45, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 7, 0.718, 0
2026-02-10 23:42:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 8, 26.095, 0
2026-02-10 23:43:31, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 9, 79.724, 0
2026-02-10 23:43:41, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 10, 10.156, 0
2026-02-10 23:43:49, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 11, 7.827, 0
2026-02-10 23:43:52, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 12, 2.44, 0
2026-02-10 23:44:06, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 13, 13.963, 0
2026-02-10 23:44:44, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 14, 38.088, 0
2026-02-10 23:45:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 15, 27.718, 0
2026-02-10 23:46:25, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 16, 73.507, 0
2026-02-10 23:46:32, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 17, 7.222, 0
2026-02-10 23:46:46, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 18, 13.922, 0
2026-02-10 23:46:54, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 19, 7.437, 0
2026-02-10 23:46:59, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 20, 5.317, 0
2026-02-10 23:47:17, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 21, 18.173, 0
2026-02-10 23:47:52, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 22, 34.681, 0
2026-02-10 23:48:08, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 23, 15.807, 0
2026-02-10 23:48:19, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 24, 10.65, 0
2026-02-10 23:48:22, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 25, 3.831, 0
2026-02-10 23:49:00, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 26, 37.848, 0
2026-02-10 23:49:22, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 27, 21.908, 0
2026-02-10 23:49:56, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 28, 33.896, 0
2026-02-10 23:50:15, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 29, 18.678, 0
2026-02-10 23:50:50, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 30, 35.094, 0
2026-02-10 23:53:11, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 1, 2.041, 0
2026-02-10 23:53:55, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 2, 43.736, 0
2026-02-10 23:54:24, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 3, 29.818, 0
2026-02-10 23:54:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 4, 7.55, 0
2026-02-10 23:54:39, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 5, 6.893, 0
2026-02-10 23:54:41, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 6, 1.712, 0
2026-02-10 23:54:55, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 7, 14.468, 0
2026-02-10 23:54:57, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 8, 1.486, 0
2026-02-10 23:55:13, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 9, 16.032, 0
2026-02-10 23:55:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 10, 19.563, 0
2026-02-10 23:56:08, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 11, 35.197, 0
2026-02-10 23:56:16, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 12, 8.382, 0
2026-02-10 23:56:17, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 13, 0.423, 0
2026-02-10 23:56:20, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 14, 3.891, 0
2026-02-10 23:56:38, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 15, 17.321, 0
2026-02-10 23:56:49, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 16, 10.749, 0
2026-02-10 23:56:49, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 17, 0.784, 0
2026-02-10 23:56:50, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 18, 0.705, 0
2026-02-10 23:57:04, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 19, 13.857, 0
2026-02-10 23:57:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 20, 27.75, 0
2026-02-10 23:57:33, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 21, 1.352, 0
2026-02-10 23:57:43, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 22, 9.56, 0
2026-02-10 23:57:51, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 23, 7.741, 0
2026-02-10 23:57:58, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 24, 7.636, 0
2026-02-10 23:58:22, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 25, 23.888, 0
2026-02-10 23:59:22, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 26, 59.251, 0
2026-02-10 23:59:36, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 27, 14.089, 0
2026-02-11 00:00:06, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 28, 30.072, 0
2026-02-11 00:00:35, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 29, 29.443, 0
2026-02-11 00:00:39, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 30, 3.425, 0
2026-02-11 00:02:30, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 1, 1.079, 0
2026-02-11 00:02:36, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 2, 6.142, 0
2026-02-11 00:02:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 3, 7.292, 0
2026-02-11 00:02:52, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 4, 9.08, 0
2026-02-11 00:02:55, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 5, 2.744, 0
2026-02-11 00:02:59, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 6, 4.15, 0
2026-02-11 00:03:05, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 7, 5.975, 0
2026-02-11 00:03:46, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 8, 40.618, 0
2026-02-11 00:03:52, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 9, 5.637, 0
2026-02-11 00:04:01, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 10, 9.549, 0
2026-02-11 00:04:02, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 11, 0.395, 0
2026-02-11 00:04:36, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 12, 34.537, 0
2026-02-11 00:04:38, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 13, 1.325, 0
2026-02-11 00:04:39, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 14, 0.997, 0
2026-02-11 00:04:41, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 15, 2.451, 0
2026-02-11 00:04:42, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 16, 1.05, 0
2026-02-11 00:05:39, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 17, 56.501, 0
2026-02-11 00:05:39, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 18, 0.406, 0
2026-02-11 00:05:42, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 19, 3.017, 0
2026-02-11 00:05:53, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 20, 10.437, 0
2026-02-11 00:06:07, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 21, 13.974, 0
2026-02-11 00:06:11, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 22, 4.176, 0
2026-02-11 00:06:25, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 23, 14.041, 0
2026-02-11 00:07:03, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 24, 37.919, 0
2026-02-11 00:07:04, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 25, 0.484, 0
2026-02-11 00:07:24, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 26, 20.148, 0
2026-02-11 00:07:56, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 27, 32.107, 0
2026-02-11 00:08:03, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 28, 7.258, 0
2026-02-11 00:08:26, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 29, 22.846, 0
2026-02-11 00:08:45, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-300), 30, 18.501, 0
2026-02-11 00:09:27, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 1, 6.85, 0
2026-02-11 00:09:52, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 2, 24.922, 0
2026-02-11 00:11:32, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 3, 100.268, 0
2026-02-11 00:11:37, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 4, 4.299, 0
2026-02-11 00:11:38, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 5, 1.402, 0
2026-02-11 00:12:45, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 6, 66.983, 0
2026-02-11 00:12:46, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 7, 0.818, 0
2026-02-11 00:13:07, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 8, 20.548, 0
2026-02-11 00:13:27, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 9, 19.799, 0
2026-02-11 00:13:32, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 10, 5.579, 0
2026-02-11 00:13:49, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 11, 16.241, 0
2026-02-11 00:13:50, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 12, 1.827, 0
2026-02-11 00:13:54, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 13, 3.613, 0
2026-02-11 00:14:44, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 14, 49.962, 0
2026-02-11 00:14:48, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 15, 4.252, 0
2026-02-11 00:15:06, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 16, 18.081, 0
2026-02-11 00:16:13, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 17, 66.909, 0
2026-02-11 00:16:39, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 18, 25.748, 0
2026-02-11 00:17:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 19, 31.443, 0
2026-02-11 00:17:54, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 20, 42.782, 0
2026-02-11 00:18:05, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 21, 10.873, 0
2026-02-11 00:19:14, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 22, 69.722, 0
2026-02-11 00:19:54, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 23, 39.288, 0
2026-02-11 00:20:25, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 24, 31.002, 0
2026-02-11 00:21:28, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 25, 63.109, 0
2026-02-11 00:22:10, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 26, 42.189, 0
2026-02-11 00:22:19, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 27, 8.609, 0
2026-02-11 00:22:28, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 28, 9.244, 0
2026-02-11 00:23:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 29, 43.177, 0
2026-02-11 00:23:25, qwhdec.order33.holes381.bal.1.col, TABU(mcf-300), 30, 13.143, 0
2026-02-11 00:24:50, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 1, 2.102, 0
2026-02-11 00:25:13, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 2, 23.175, 0
2026-02-11 00:25:48, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 3, 34.873, 0
2026-02-11 00:25:57, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 4, 8.632, 0
2026-02-11 00:26:16, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 5, 19.142, 0
2026-02-11 00:26:18, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 6, 1.763, 0
2026-02-11 00:27:05, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 7, 47.724, 0
2026-02-11 00:27:07, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 8, 1.454, 0
2026-02-11 00:27:09, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 9, 2.17, 0
2026-02-11 00:27:20, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 10, 11.222, 0
2026-02-11 00:27:48, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 11, 27.326, 0
2026-02-11 00:28:03, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 12, 15.62, 0
2026-02-11 00:28:04, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 13, 0.434, 0
2026-02-11 00:28:38, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 14, 34.566, 0
2026-02-11 00:28:45, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 15, 6.444, 0
2026-02-11 00:28:54, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 16, 9.147, 0
2026-02-11 00:28:55, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 17, 0.804, 0
2026-02-11 00:28:56, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 18, 0.754, 0
2026-02-11 00:29:14, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 19, 18.319, 0
2026-02-11 00:29:36, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 20, 21.469, 0
2026-02-11 00:29:37, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 21, 1.632, 0
2026-02-11 00:30:00, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 22, 22.936, 0
2026-02-11 00:30:07, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 23, 6.917, 0
2026-02-11 00:30:34, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 24, 26.773, 0
2026-02-11 00:30:41, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 25, 7.203, 0
2026-02-11 00:31:15, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 26, 33.113, 0
2026-02-11 00:31:23, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 27, 7.969, 0
2026-02-11 00:31:26, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 28, 3.609, 0
2026-02-11 00:31:30, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 29, 4.124, 0
2026-02-11 00:31:39, qwhdec.order33.holes381.bal.1.col, TABU(flow-400), 30, 8.249, 0
2026-02-11 00:33:10, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 1, 1.166, 0
2026-02-11 00:33:17, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 2, 6.683, 0
2026-02-11 00:33:54, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 3, 37.182, 0
2026-02-11 00:35:02, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 4, 67.721, 0
2026-02-11 00:36:22, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 5, 79.908, 0
2026-02-11 00:36:37, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 6, 14.597, 0
2026-02-11 00:36:54, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 7, 17.531, 0
2026-02-11 00:37:14, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 8, 19.685, 0
2026-02-11 00:37:49, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 9, 34.633, 0
2026-02-11 00:38:02, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 10, 12.956, 0
2026-02-11 00:38:02, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 11, 0.466, 0
2026-02-11 00:38:41, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 12, 38.87, 0
2026-02-11 00:38:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 13, 1.603, 0
2026-02-11 00:38:44, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 14, 1.233, 0
2026-02-11 00:39:27, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 15, 42.827, 0
2026-02-11 00:39:29, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 16, 1.247, 0
2026-02-11 00:40:10, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 17, 41.05, 0
2026-02-11 00:40:10, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 18, 0.35, 0
2026-02-11 00:40:16, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 19, 6.242, 0
2026-02-11 00:40:23, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 20, 6.156, 0
2026-02-11 00:40:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 21, 20.882, 0
2026-02-11 00:41:00, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 22, 16.648, 0
2026-02-11 00:41:11, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 23, 10.906, 0
2026-02-11 00:41:48, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 24, 37.289, 0
2026-02-11 00:41:49, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 25, 0.285, 0
2026-02-11 00:41:55, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 26, 6.633, 0
2026-02-11 00:41:59, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 27, 3.079, 0
2026-02-11 00:42:20, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 28, 21.642, 0
2026-02-11 00:42:47, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 29, 26.99, 0
2026-02-11 00:42:57, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-400), 30, 9.362, 0
2026-02-11 15:42:40, QWH-50-70-1.txt, TABU(flow-400), 1, 26.576, 0
2026-02-11 15:51:36, QWH-50-70-1.txt, TABU(flow-400), 2, 535.887, 0
2026-02-11 15:54:23, QWH-50-70-1.txt, TABU(flow-400), 3, 165.833, 0
2026-02-11 16:10:34, QWH-50-70-1.txt, TABU(flow-400), 4, 971.026, 0
2026-02-11 16:23:43, QWH-50-70-1.txt, TABU(flow-400), 5, 789.724, 0
2026-02-11 16:34:12, QWH-50-70-1.txt, TABU(flow-400), 6, 629.02, 0
2026-02-11 16:45:03, QWH-50-70-1.txt, TABU(flow-400), 7, 649.961, 0
2026-02-11 16:52:27, QWH-50-70-1.txt, TABU(flow-400), 8, 444.827, 0
2026-02-11 17:02:10, QWH-50-70-1.txt, TABU(flow-400), 9, 582.142, 0
2026-02-11 17:04:09, QWH-50-70-1.txt, TABU(flow-400), 10, 119.281, 0
2026-02-11 17:05:33, QWH-50-70-1.txt, TABU(flow-400), 11, 84.199, 0
2026-02-11 17:19:29, QWH-50-70-1.txt, TABU(flow-400), 12, 835.819, 0
2026-02-11 17:20:10, QWH-50-70-1.txt, TABU(flow-400), 13, 41.28, 0
2026-02-11 17:23:28, QWH-50-70-1.txt, TABU(flow-400), 14, 197.866, 0
2026-02-11 17:27:42, QWH-50-70-1.txt, TABU(flow-400), 15, 253.202, 0
2026-02-11 17:34:08, QWH-50-70-1.txt, TABU(flow-400), 16, 386.148, 0
2026-02-11 17:35:28, QWH-50-70-1.txt, TABU(flow-400), 17, 80.319, 0
2026-02-11 17:52:08, QWH-50-70-1.txt, TABU(flow-400), 18, 999.903, 2
2026-02-11 17:54:18, QWH-50-70-1.txt, TABU(flow-400), 19, 130.091, 0
2026-02-11 18:10:58, QWH-50-70-1.txt, TABU(flow-400), 20, 999.902, 2
2026-02-11 18:13:35, QWH-50-70-1.txt, TABU(flow-400), 21, 156.556, 0
